"x"
"                                                                                                                                                                                                                                                               "
"ir a misa y al super                                                                                                                                                                                                                                           "
"ir a la escuela                                                                                                                                                                                                                                                "
"cocinar                                                                                                                                                                                                                                                        "
"quehaceres domésticos                                                                                                                                                                                                                                          "
"lavar ropa                                                                                                                                                                                                                                                     "
"limpiar los patios y haser alguna mejora                                                                                                                                                                                                                       "
"la limpiesa                                                                                                                                                                                                                                                    "
"ir al parque en la bicicleta en las mañanas                                                                                                                                                                                                                    "
"hacer el aseo                                                                                                                                                                                                                                                  "
"Jugar juegos de mesa                                                                                                                                                                                                                                           "
"jugar juegos de mesa con la familia o ver peliculas                                                                                                                                                                                                            "
"convivir con mis primos hermanos y familia                                                                                                                                                                                                                     "
"hacer labores domésticas                                                                                                                                                                                                                                       "
"salir de paseo                                                                                                                                                                                                                                                 "
"salir de antro                                                                                                                                                                                                                                                 "
"hacer limpieza                                                                                                                                                                                                                                                 "
"labores de limpieza                                                                                                                                                                                                                                            "
"tarea y ayudar a labores domésticas                                                                                                                                                                                                                            "
"limpieza                                                                                                                                                                                                                                                       "
"aseo y que haceres domésticos                                                                                                                                                                                                                                  "
"haserle algo ami casa de remodelacion                                                                                                                                                                                                                          "
"labores domésticas                                                                                                                                                                                                                                             "
"hacer carne asada                                                                                                                                                                                                                                              "
"arreglar las cosas descompuestas o labores domésticas                                                                                                                                                                                                          "
"buscar trabajo                                                                                                                                                                                                                                                 "
"lavar mi ropa                                                                                                                                                                                                                                                  "
"trabajo                                                                                                                                                                                                                                                        "
"lavar mi ropa, ir por la despensa                                                                                                                                                                                                                              "
"hacer de comer y descansar                                                                                                                                                                                                                                     "
"jugar con el celular y descansar                                                                                                                                                                                                                               "
"dar catesismo                                                                                                                                                                                                                                                  "
"trabajo, sólo llegó a cenar                                                                                                                                                                                                                                    "
"estoy fuera todo el día                                                                                                                                                                                                                                        "
"hacer tarea                                                                                                                                                                                                                                                    "
"Descansar acostado                                                                                                                                                                                                                                             "
"limpiar cuarto                                                                                                                                                                                                                                                 "
"limpieza general                                                                                                                                                                                                                                               "
"comparar con las labores de los casa en general                                                                                                                                                                                                                "
"la limpieza                                                                                                                                                                                                                                                    "
