"x"
"                                                                                                                                                                                                                                                               "
"haser una carne asada en casa para convivir con la fam.                                                                                                                                                                                                        "
"trabajar                                                                                                                                                                                                                                                       "
"no salgo                                                                                                                                                                                                                                                       "
"jugar con mis nietos.                                                                                                                                                                                                                                          "
"ir al mercado                                                                                                                                                                                                                                                  "
"vistas al centro y mercado                                                                                                                                                                                                                                     "
"de por la despensa                                                                                                                                                                                                                                             "
"ir por la despensa                                                                                                                                                                                                                                             "
"ir a concierto de música electrónica                                                                                                                                                                                                                           "
"estar acostada en mi cama todo el día y lavar ropa                                                                                                                                                                                                             "
"practicar la patineta                                                                                                                                                                                                                                          "
"pasar todo el fin con mi pareja                                                                                                                                                                                                                                "
"ir al mercado e ir a misa                                                                                                                                                                                                                                      "
"ir a platicar con él sr del periódico                                                                                                                                                                                                                          "
"ir a misa                                                                                                                                                                                                                                                      "
"trabajo todo el día                                                                                                                                                                                                                                            "
"ir a practicar baile                                                                                                                                                                                                                                           "
"salir con mi novia                                                                                                                                                                                                                                             "
"ir por el mandado                                                                                                                                                                                                                                              "
"surtir despensa ir a alguna fiesta,                                                                                                                                                                                                                            "
"ir a reuniones, ir a eventos musicales                                                                                                                                                                                                                         "
"voy al súper,a la lavandería                                                                                                                                                                                                                                   "
