"x"
"                                                                                                                                                                                                                                                               "
"mayte perroni                                                                                                                                                                                                                                                  "
"el arquitecto Benavides                                                                                                                                                                                                                                        "
"Fabiola campomanes, andrea legarreta, lópez Dóriga, Paty Chapoy                                                                                                                                                                                                "
"Lucero Thalia                                                                                                                                                                                                                                                  "
"Joan Sebastian                                                                                                                                                                                                                                                 "
"los de espectaculos                                                                                                                                                                                                                                            "
"Andrea legarreta                                                                                                                                                                                                                                               "
"Yahir / los Ángeles azules                                                                                                                                                                                                                                     "
"Vicente Fernández, Pepe Aguilar                                                                                                                                                                                                                                "
"los actores                                                                                                                                                                                                                                                    "
"Jenny Rivera                                                                                                                                                                                                                                                   "
"Yuri                                                                                                                                                                                                                                                           "
"Shakira, Alejandra Guzmán, Alex Sintek                                                                                                                                                                                                                         "
"Raúl araiza                                                                                                                                                                                                                                                    "
"Sebastiano rulli                                                                                                                                                                                                                                               "
"los actores de antes como Pedro infabte , vecente Fernández etc                                                                                                                                                                                                "
"Armando Manzanero                                                                                                                                                                                                                                              "
"Juan Gabriel, Dulce, y los artistas regionales.                                                                                                                                                                                                                "
"Ninel Conde,                                                                                                                                                                                                                                                   "
"Ernesto Chavana                                                                                                                                                                                                                                                "
" artistas Yucatecos como Armando Manzanero, Carlos Lico, Maria Medina, Alex Sintek                                                                                                                                                                             "
"CAMILA                                                                                                                                                                                                                                                         "
"paty chapoi y daniel bisoño                                                                                                                                                                                                                                    "
"Camila                                                                                                                                                                                                                                                         "
"Carmen Salinas, Silvia Piñal                                                                                                                                                                                                                                   "
"Thalia, David Bisbal, Alejandro Fernández                                                                                                                                                                                                                      "
"yaquelin anderey su hija                                                                                                                                                                                                                                       "
"william levy                                                                                                                                                                                                                                                   "
"omar chaparro                                                                                                                                                                                                                                                  "
"Maria jose                                                                                                                                                                                                                                                     "
"lopez doriga                                                                                                                                                                                                                                                   "
"julion alvares                                                                                                                                                                                                                                                 "
"Sebastián Rulli, Gabriel Soto, el Burro Van Rankin                                                                                                                                                                                                             "
"maluma                                                                                                                                                                                                                                                         "
"José maria                                                                                                                                                                                                                                                     "
"albertano                                                                                                                                                                                                                                                      "
"Cristián d la Fuente, José Ron, Aaron Diaz                                                                                                                                                                                                                     "
"Alejandra Guzman                                                                                                                                                                                                                                               "
"martinoli , luis garcia y jorge campos                                                                                                                                                                                                                         "
"Yahir el de la academia                                                                                                                                                                                                                                        "
"mariberl guardio y jose jose                                                                                                                                                                                                                                   "
"Jaime Camil, Andrea Legarreta, Libia Brito                                                                                                                                                                                                                     "
"Paty Chapoy, Sebastián Ruli                                                                                                                                                                                                                                    "
"wiliam levy                                                                                                                                                                                                                                                    "
"Galilea Montijo, Andrea Legareta, Sebastián Rulli.                                                                                                                                                                                                             "
"Jahir, Carlos Rivera                                                                                                                                                                                                                                           "
"los de las telenovelas                                                                                                                                                                                                                                         "
"maylin mungica                                                                                                                                                                                                                                                 "
"Gabriel soto                                                                                                                                                                                                                                                   "
"sergio sepulveda                                                                                                                                                                                                                                               "
"fernando del solar                                                                                                                                                                                                                                             "
"cesar chavez                                                                                                                                                                                                                                                   "
"marjori de sousa                                                                                                                                                                                                                                               "
"Ana Paola, Pedro Fernández                                                                                                                                                                                                                                     "
"León Laregui                                                                                                                                                                                                                                                   "
"sonora santanera, Joan Sebastian,  Vicente Fernández                                                                                                                                                                                                           "
"Pedro Infante, Angélica Maria, Lucía Mendez, Cristian Castro                                                                                                                                                                                                   "
"Jesse & Hoy Adele, Sasha                                                                                                                                                                                                                                       "
"Andrea Le garra, Ingrid Coronado                                                                                                                                                                                                                               "
"serguio sendel colunga                                                                                                                                                                                                                                         "
"Javier Alatorre, Paty Chapoy, etc                                                                                                                                                                                                                              "
"Luis Miguel                                                                                                                                                                                                                                                    "
"programas de comedia por ejemplo novelas como la hora pico, los Mascabrothers                                                                                                                                                                                  "
"Es lo único que tengo                                                                                                                                                                                                                                          "
"Mayrín Villanueva, Victor, Carmelita Salinas, Angelique Boyer                                                                                                                                                                                                  "
"Verónica Castro, Niurka Mstcos                                                                                                                                                                                                                                 "
"Lucía Mendez, Armando Manzanero, Luis Miguel, Pedro Infante, Jenny Rivera                                                                                                                                                                                      "
"Irma Dorantes, Antonio Aguilar, Cantinflas, Vicente Fernández                                                                                                                                                                                                  "
"Juan Gabriel                                                                                                                                                                                                                                                   "
"Sebastian Rulli, Gustavo Bermúdez, Fernando Colunga                                                                                                                                                                                                            "
