"x"
"                                                                                                                                                                                                                                                               "
"los partidos de mi equipo favorito de fútbol                                                                                                                                                                                                                   "
"el reality de master chef mexico                                                                                                                                                                                                                               "
"deporte                                                                                                                                                                                                                                                        "
"que es gratis ya que no cuento con los recursos para contratar alguna compañía de cable                                                                                                                                                                        "
"información                                                                                                                                                                                                                                                    "
"la verdad me gusta el fútbol y así estoy al tanto de los equipos nacionales                                                                                                                                                                                    "
"el fútbol                                                                                                                                                                                                                                                      "
"esta al alcance de el bolsillo                                                                                                                                                                                                                                 "
"no cobra y es variada                                                                                                                                                                                                                                          "
"porque no cobran                                                                                                                                                                                                                                               "
"que no necesitas que pagar por ella                                                                                                                                                                                                                            "
"el box de los sábados                                                                                                                                                                                                                                          "
"videos de música                                                                                                                                                                                                                                               "
"contenidos deportivos                                                                                                                                                                                                                                          "
"los deportes, las peliculas,master chef,                                                                                                                                                                                                                       "
"pues telenovelas y otros programas de México que no se ven por la tv de paga.                                                                                                                                                                                  "
"porque aunqueno me parese muy bueno el contenido no tengo que pagarlo cada mes                                                                                                                                                                                 "
"pues casi no veo la tv abierta pero con él sky también vienen los canales de tv abierta pero pues pueden ofecer uno que otro programa que no trae la tv de paga.                                                                                               "
"son pocos los programas abiertos que me gustan                                                                                                                                                                                                                 "
"programas mexicanos y películas mexicanas noticieros igual.                                                                                                                                                                                                    "
"No tengo contratado algún paquete de Internet o cable                                                                                                                                                                                                          "
"las noticias                                                                                                                                                                                                                                                   "
"Deportes                                                                                                                                                                                                                                                       "
"programas que en tv de pagan no se pueden ver por que solo son programas mexicanos.                                                                                                                                                                            "
"no cuento con cable.                                                                                                                                                                                                                                           "
"la verdad no ofrecen mucho pero vienen con él cable                                                                                                                                                                                                            "
"pues viene con los canales de paga pero no veo mucho la tv abierta.                                                                                                                                                                                            "
"lo distraen con lo que llega a ver                                                                                                                                                                                                                             "
"me distrae cuando estoy aburrida, me distraen algunos programas                                                                                                                                                                                                "
"las noticias y el deporte                                                                                                                                                                                                                                      "
"para enterar me de las noticias                                                                                                                                                                                                                                "
"musica                                                                                                                                                                                                                                                         "
"Transmiten el fútbol y box                                                                                                                                                                                                                                     "
"noticias y deportes                                                                                                                                                                                                                                            "
"noticias deportes y aveses buenas peliculas                                                                                                                                                                                                                    "
"Fútbol, béisbol.                                                                                                                                                                                                                                               "
"solo a eso tengo acceso                                                                                                                                                                                                                                        "
"prefiere los noticieros de tv abierta                                                                                                                                                                                                                          "
"mi economía no me permite contratar cable                                                                                                                                                                                                                      "
"No hay otra cosa que ver                                                                                                                                                                                                                                       "
"Fútbol                                                                                                                                                                                                                                                         "
"en la farmacia unicamente se ven los canales abiertos y locales.                                                                                                                                                                                               "
"me distrae en mis ratos libres                                                                                                                                                                                                                                 "
"Adrián Uribe                                                                                                                                                                                                                                                   "
"Que es un servicio gratuito y de calidad                                                                                                                                                                                                                       "
"los programas documentales                                                                                                                                                                                                                                     "
"canal trece sus programas de noticias                                                                                                                                                                                                                          "
"es gratuito                                                                                                                                                                                                                                                    "
"juegos, películas, serie                                                                                                                                                                                                                                       "
"noticias locales.                                                                                                                                                                                                                                              "
"contenidos cotidianos como novelas y esas cosas                                                                                                                                                                                                                "
"algunas películas                                                                                                                                                                                                                                              "
"programas de baile                                                                                                                                                                                                                                             "
"que es gratis y es accesible a cualquier programa                                                                                                                                                                                                              "
"programas de baile o cocina                                                                                                                                                                                                                                    "
"deportes                                                                                                                                                                                                                                                       "
"programas mexicanos novelas caricaturas                                                                                                                                                                                                                        "
"la academia                                                                                                                                                                                                                                                    "
"La voz México                                                                                                                                                                                                                                                  "
