"x"
"que puedo investigar o ver todo lo que guste al momento y lugar donde sea                                                                                                                                                                                      "
"                                                                                                                                                                                                                                                               "
"estar informado a tiempo                                                                                                                                                                                                                                       "
"Redes sociales                                                                                                                                                                                                                                                 "
"vee videos                                                                                                                                                                                                                                                     "
"Distintas Redes sociales                                                                                                                                                                                                                                       "
"busco informacion                                                                                                                                                                                                                                              "
"ayuda a mis tareas y ver videos                                                                                                                                                                                                                                "
"bajar peliculas que no puedo ir aver el cine                                                                                                                                                                                                                   "
"Juegos en línea                                                                                                                                                                                                                                                "
"interactuar con amigos y fam.                                                                                                                                                                                                                                  "
"Chats con mis amigos y familiares                                                                                                                                                                                                                              "
"Videos, música, chats y páginas para navegar                                                                                                                                                                                                                   "
"Videos de mis artistas favoritos en el que yo puedo seleccionar cual escuchar cuando guste                                                                                                                                                                     "
"para buscar peliculas o una serie                                                                                                                                                                                                                              "
"que puedo tener las redes sociales y comunicación con mis amigos                                                                                                                                                                                               "
"que puedo poner los vídeos que yo busqué o las películas                                                                                                                                                                                                       "
"para bajar musica                                                                                                                                                                                                                                              "
"para buscar series                                                                                                                                                                                                                                             "
"por la musica                                                                                                                                                                                                                                                  "
"para bajar peliculas                                                                                                                                                                                                                                           "
"para bajar musica y peliculas                                                                                                                                                                                                                                  "
"Redes sociales actualizadas                                                                                                                                                                                                                                    "
"Videos                                                                                                                                                                                                                                                         "
"redes sociales                                                                                                                                                                                                                                                 "
"shows en vivo                                                                                                                                                                                                                                                  "
"cualquier evento                                                                                                                                                                                                                                               "
"cualquier contenido                                                                                                                                                                                                                                            "
"diversidad de temas                                                                                                                                                                                                                                            "
"él poder buscar cualquier cosa                                                                                                                                                                                                                                 "
"me facilita mi trabajo                                                                                                                                                                                                                                         "
"la realidad o un poco más real la vida                                                                                                                                                                                                                         "
"los juegos en línea                                                                                                                                                                                                                                            "
"los videos de lo que sea                                                                                                                                                                                                                                       "
"video y de todos los temas que hay                                                                                                                                                                                                                             "
"Checar mi WhatsApp y mi Facebook                                                                                                                                                                                                                               "
"buscar información                                                                                                                                                                                                                                             "
"cualquier cosa que se me ocurra buscar                                                                                                                                                                                                                         "
"lo que yo quiera                                                                                                                                                                                                                                               "
"usarlo cuando quiera y buscar lo que necesite                                                                                                                                                                                                                  "
"Checo mi Facebook                                                                                                                                                                                                                                              "
"Entretenimiento  a la. Mano                                                                                                                                                                                                                                    "
"Apertura                                                                                                                                                                                                                                                       "
"Programas que no pasa la tele                                                                                                                                                                                                                                  "
"la facilidad de usarlo y encontrar siempre lo que buscas                                                                                                                                                                                                       "
"Las redes sociales                                                                                                                                                                                                                                             "
"El facebook en donde me comunico con mis amigos                                                                                                                                                                                                                "
"revisar redes y ver videos                                                                                                                                                                                                                                     "
"horarios se ajustan ala hr. que tu quieras ver .                                                                                                                                                                                                               "
"que es más abierto en temas no me limitan a acceder a algo que me gusten                                                                                                                                                                                       "
"que puedo tener contacto con mis amigos y familiares                                                                                                                                                                                                           "
"que a la hora que lo ocupe puede ver lo que yo quiera                                                                                                                                                                                                          "
"moda, belleza,cocina                                                                                                                                                                                                                                           "
"sobre mi trabajo                                                                                                                                                                                                                                               "
