"x"
"                                                                                                                                                                                                                                                               "
"de videojuegos                                                                                                                                                                                                                                                 "
"video juegos                                                                                                                                                                                                                                                   "
"negocios o viajes entregas etc.                                                                                                                                                                                                                                "
"videojuegos                                                                                                                                                                                                                                                    "
"sobre lo nuevo que sale en moda                                                                                                                                                                                                                                "
"problemas cotidianos                                                                                                                                                                                                                                           "
"sobre economía                                                                                                                                                                                                                                                 "
"económico, como hacer para que rinda el dinero para los gastos de la casa, escuela                                                                                                                                                                             "
"cosas de mi carrera                                                                                                                                                                                                                                            "
"algo que nos haga reir                                                                                                                                                                                                                                         "
"compañías de danza                                                                                                                                                                                                                                             "
"música                                                                                                                                                                                                                                                         "
"anime                                                                                                                                                                                                                                                          "
"mi pasatiempo artículos de DJ                                                                                                                                                                                                                                  "
"mi pasatiempo juegos externos                                                                                                                                                                                                                                  "
"intereses o planes de los miembros de mi familia                                                                                                                                                                                                               "
"tonterías, cosas graciosas o interesantes que he visto en internet                                                                                                                                                                                             "
"cine y cartelera teatral                                                                                                                                                                                                                                       "
"Tipos y refacciones de bicicletas.                                                                                                                                                                                                                             "
"de sus épocas pasadas                                                                                                                                                                                                                                          "
"cine y política                                                                                                                                                                                                                                                "
"películas, series televisivas                                                                                                                                                                                                                                  "
"películas o novelas                                                                                                                                                                                                                                            "
"Sobre videojuegos, anime o manga                                                                                                                                                                                                                               "
"vivencias                                                                                                                                                                                                                                                      "
